event_index,summary,location,best_score,candidate_names
97,業務用エアコン輝らく取り外し（分解して売るとちょっと高くなる）,,18.2,業務用エアコン輝らく取り外し（分解して売るとちょっと高くなる）
98,ちなちゃん,,16.7,ちなちゃん
102,銀座小肥羊 ネズミ駆除　対応,,30.0,銀座小肥羊 ネズミ駆除　対応
103,神谷光明様（Saleshub）zoom 面談　紹介案件,,25.0,神谷光明様（Saleshub）zoom 面談　紹介案件
105,【本社】株式会社ドリームダブルコーポレーション,東京都新宿区下宮比町2-1 第一勧銀稲垣ビル B1F,27.3,株式会社ドリームダブルコーポレーション | 東京都新宿区下宮比町2-1 第一勧銀稲垣ビル B1F | 定期清掃入れている店舗が1店舗、その他店舗はスポットで依頼
106,板前鮨愛宕店　ネズミ駆除2回目,,38.5,板前鮨愛宕店　ネズミ駆除2回目
107,【追加スポット清掃】bar atomic エアコン分解洗浄,,46.2,bar atomic エアコン分解洗浄
108,後藤さんとご飯,,18.2,後藤さんとご飯
109,ダーツバー A's　清掃　茅場町店,ダーツバー A's　茅場町店,44.4,ダーツバー A's　　茅場町店 | ダーツバー A's　茅場町店
111,スモールズ　不夜城,,47.6,スモールズ　不夜城
112,いずみちゃん,,21.1,いずみちゃん
113,【テレアポ訪問】みかわ,"中華そば みかわ, 日本、〒230-0051 神奈川県横浜市鶴見区鶴見中央１丁目４−３",25.0,みかわ | 中華そば みかわ | 店長：ハンダさま
114,デイジー川口市役所店 棚設置,,30.0,デイジー川口市役所店 棚設置
115,害虫駆除レクチャー,,13.3,害虫駆除レクチャー
116,一見さん査察　浅田さん紹介,https://maps.app.goo.gl/kBijevFs2YU4Av2aA?g_st=com.google.maps.preview.copy,20.0,一見さん査察　浅田さん紹介 | https://maps.app.goo.gl/kBijevFs2YU4Av2aA?g_st=com.google.maps.preview.copy
117,口座残高確認,,22.2,口座残高確認
120,串揚げじゅらく　アメ横店 ４店舗現地調査,"酒亭じゅらく 上野店, 日本、〒110-0005 東京都台東区上野６丁目１１−６",42.9,串揚げじゅらく　アメ横店 ４店舗現地調査 | 酒亭じゅらく 上野店
121,買い出しリスト,,25.0,買い出しリスト
122,いずみちゃん,,21.1,いずみちゃん
123,15時歯医者,,0.0,15時歯医者
124,【最終日】株式会社エジソン電灯　大澤岳則（レポート作成不要）4日目/4日目,,28.6,株式会社エジソン電灯　大澤岳則（レポート作成不要）4日目 | 4日目
126,ハイキュー併せ,,28.6,ハイキュー併せ
127,ゴミ回収請求書送付,,14.3,ゴミ回収請求書送付
128,森作ライブ,,33.3,森作ライブ
129,となコスまめちゃんととりちゃん,,26.1,となコスまめちゃんととりちゃん
134,＠Googlemeet　hairVR株式会社様,,30.3,＠Googlemeet　hairVR株式会社様 | 株式会社店サポ様中心に、概算のご提案をさせていただきます。
135,Lemuel 休み,,32.0,Lemuel 休み
136,s bar現金回収したか確認,,29.6,s bar現金回収したか確認
137,株式会社フードリヴァンプ x 正田和輝プライベート: 訪問させていただく日程調整お打ち合わせ,,13.3,株式会社フードリヴァンプ x 正田和輝プライベート: 訪問させていただく日程調整お打ち合わせ
138,8:30出勤,,28.6,8:30出勤
139,【訪問営業】東神かおたん　タケヤマ代表,"中国料理 かおたん, 日本、〒107-0052 東京都港区赤坂６丁目３−１５",21.1,東神かおたん　タケヤマ代表 | 中国料理 かおたん
140,らーめん直久新宿西口店　現地調査,"らーめん直久 新宿西口店, 日本、〒160-0023 東京都新宿区西新宿１丁目６−６ 新宿エルタワー B2「エルプラザ」",42.9,らーめん直久新宿西口店　現地調査 | らーめん直久 新宿西口店
141,【スポット清掃】味のなかむら,,30.8,味のなかむら
142,zoom URL,,37.5,zoom URL
143,遠藤さん16日エアコン不要,,14.8,遠藤さん16日エアコン不要
144,Lemuel 休み,,32.0,Lemuel 休み
146,電気工事　朝霞台駅,,20.0,電気工事　朝霞台駅
147,いずみちゃんと土間16時,,16.0,いずみちゃんと土間16時
149,増田家旅行,,25.0,増田家旅行
150,デイジー棚つけ,,23.5,デイジー棚つけ
153,白須 大吉,,28.6,白須 大吉
154,神戸物産プレミアムカルビ　越谷レイクタウン 査察　梅岡様,"プレミアムカルビ レイクタウン店, 日本、〒343-0828 埼玉県越谷市レイクタウン５丁目１−２",28.6,神戸物産プレミアムカルビ　越谷レイクタウン 査察　梅岡様 | プレミアムカルビ レイクタウン店
155,デニーロ神田　査察,,36.4,デニーロ神田　査察
156,休み,,0.0,休み
157,【現調】串焼こがね越谷,"串焼き こがね, 日本、〒343-0845 埼玉県越谷市南越谷１丁目２０−４ 岩淵ビル 1F",75.0,串焼こがね越谷 | 串焼き こがね
159,ITパスポート試験予定日御茶ノ水試験会場,,19.0,ITパスポート試験予定日御茶ノ水試験会場
161,トリオ集合,,50.0,トリオ集合
163,TDCマドマギ まどか,,21.1,TDCマドマギ まどか
164,引っ越し2日目,,25.0,引っ越し2日目
165,富士急ハイランド草加,,27.3,富士急ハイランド草加
166,仮【スポット清掃】 FAST OYSTERS,,38.1,仮【】 FAST OYSTERS | 店長：ワタナベ様 | おかわり案件（店長立ち会い案件）
167,新橋生ラムかんな　ネズミ駆除カメラと殺鼠剤食っているかのチェック調査,,14.0,新橋生ラムかんな　ネズミ駆除カメラと殺鼠剤食っているかのチェック調査
170,面接14:00,,0.0,面接14:00
171,【テレアポ訪問】ハツスケ,"とり処 初介, 日本、〒151-0071 東京都渋谷区本町１丁目２−２ 榎本ビル 1F",25.0,ハツスケ | とり処 初介 | 店長：リン様
173,パソナ　キャリアチェンジ デザイナー面談,,23.1,パソナ　キャリアチェンジ デザイナー面談
175,うまるちゃん併せ池ハロ,,25.0,うまるちゃん併せ池ハロ
176,馬力新橋　エアコン交換取り付け現地調査,,21.4,馬力新橋　エアコン交換取り付け現地調査
177,ダイナースカード　締日,,22.2,ダイナースカード　締日
181,ななことあう原宿14:45,,13.3,ななことあう原宿14:45
182,とんでん江北　漏電調査,"北海道生まれ和食処とんでん江北店, 日本、〒123-0872 東京都足立区江北３丁目３７−１９",23.5,とんでん江北　漏電調査 | 北海道生まれ和食処とんでん江北店
183,ユーネクスト解約する,,21.1,ユーネクスト解約する
188,【現場調査】2TAPさま　食堂かど,"ヴィラ三軒茶屋, 日本、〒154-0004 東京都世田谷区太子堂４丁目２６−６ ヴィラ三軒茶屋 1F",61.5,2TAPさま　食堂かど | ヴィラ三軒茶屋
189,資料作成打合せ,,11.1,資料作成打合せ
191,株式会社ジーエル・パートナーズ 瀧本様 x 正田和輝プライベート: 訪問させていただく日程調整お打ち合わせ,東京都世田谷区用賀4-13-1,31.6,株式会社ジーエル | パートナーズ 瀧本様 x 正田和輝プライベート: 訪問させていただく日程調整お打ち合わせ | 東京都世田谷区用賀4-13-1 | ⇒　「中華そば　節」の用賀店 | ・費用感：店舗によって異なるため、ぱっと出てこない
192,休み,,0.0,休み
193,柴田さん撮影予定善逸柱,,18.2,柴田さん撮影予定善逸柱
194,川口花火大会,,22.2,川口花火大会
197,茨木童子まめちゃんと！！！イベント！,,15.4,茨木童子まめちゃんと！！！イベント！
198,【現地調査】逆瀬川　城井さん,,20.0,逆瀬川　城井さん
200,ベロニカドラクエ併せ,,21.1,ベロニカドラクエ併せ
201,ふやまさんと水族館,,30.0,ふやまさんと水族館
206,近藤hairVR解約対応,,28.6,近藤hairVR解約対応
209,グルメパートナーズ 打ち合わせ予約カレンダー,https://us02web.zoom.us/j/89574496152?pwd=6jme8mrmMZbQc31zl3OfD2hzORq9bS.1,16.7,グルメパートナーズ 打ち合わせ予約カレンダー | https://us02web.zoom.us/j/89574496152?pwd=6jme8mrmMZbQc31zl3OfD2hzORq9bS.1
210,親睦会（池袋飲み）,"ハース池袋, 日本、〒171-0022 東京都豊島区南池袋１丁目２０−８",50.0,親睦会（池袋飲み） | ハース池袋
212,いずみちゃん,,21.1,いずみちゃん
214,TRATTORIAFILARE　店舗査察　　正田テレアポ獲得,"TRATTORIA FILARE (トラットリア フィラーレ), 日本、〒151-0051 東京都渋谷区千駄ケ谷３丁目３１−３ ウェルスクエアイズム 102",34.3,TRATTORIAFILARE　店舗査察　　正田テレアポ獲得 | TRATTORIA FILARE (トラットリア フィラーレ) | 店長：茅根
217,ラムラ株式会社　麹蔵　市谷店査察　床汚い清掃,"麹蔵 市ヶ谷店, 日本、〒102-0073 東京都千代田区九段北４丁目２−２−６ 市ヶ谷ビル B1",44.4,ラムラ株式会社　麹蔵　市谷店査察　床汚い | 麹蔵 市ヶ谷店
219,新橋バーラウンジ 配管つまりトラブル対応,,55.2,新橋バーラウンジ 配管つまりトラブル対応
222,ペン坊清掃内容確認。メール返信なければ電話,,22.2,ペン坊内容確認。メール返信なければ電話
225,【商談中案件訪問】赤坂サカス付近,,40.0,赤坂サカス付近
226,事務所電話(年),,11.8,事務所電話(年)
227,ちなちゃんとあそぶ,,12.5,ちなちゃんとあそぶ
228,mossitavio 永福町　配管工事,,47.1,mossitavio 永福町　配管工事
229,銀座 小肥羊 週次対応,,35.3,銀座 小肥羊 週次対応
230,GOSSO　0秒レモンサワー　 深夜渋谷清掃　2回目/2回,,50.0,GOSSO　0秒レモンサワー　 深夜渋谷　2回目 | 2回 | 鍵はキーボックスで対応と店内のSECOMの解除も必要です。
231,craft cheeze maeket 撮影不備再撮影,,29.3,craft cheeze maeket 撮影不備再撮影
232,たまき新宿２号店 　エアコン修理工事,,48.0,たまき新宿２号店 　エアコン修理工事
234,レポート確認,,22.2,レポート確認
235,GOSSO　0秒レモンサワー　 深夜渋谷清掃 ３回目/３回,,18.8,GOSSO　0秒レモンサワー　 深夜渋谷 ３回目 | ３回 | 鍵はキーボックスで対応と店内のSECOMの解除も必要です。
236,パセラ　上野店　査察,,46.2,パセラ　上野店　査察
239,長田さん　不夜城査察,,27.3,長田さん　不夜城査察
240,六本木 ゴミ回収,東京都港区六本木４丁目-８-１２,22.2,六本木 ゴミ回収 | 東京都港区六本木４丁目-８-１２
244,ドラクエカミュ,,16.7,ドラクエカミュ
247,家族飲み,,0.0,家族飲み
249,Msさんとごはん,,21.1,Msさんとごはん
252,ダイナック　岡さん　パパミラノ　テレアポから,東京都港区台場2ー3ー3 サントリーワールドヘッドクォーターズ内,16.2,ダイナック　岡さん　パパミラノ　テレアポから | 東京都港区台場2ー3ー3 サントリーワールドヘッドクォーターズ内
254,いずみちゃんとあそぶ,,17.4,いずみちゃんとあそぶ
256,Lemuel 休み,,32.0,Lemuel 休み
258,【スポット清掃】長谷川さん宅,"小袋谷２丁目７−１８, 日本、〒247-0055 神奈川県鎌倉市小袋谷２丁目７−１８",22.2,長谷川さん宅 | 小袋谷２丁目７−１８
262,【訪問】有限会社成順さま,,33.3,有限会社成順さま
263,株式会社高繁フードサービス　大木様 x 正田和輝プライベート: 訪問させていただく日程調整お打ち合わせ,東京都新宿区新宿3-10-4,26.7,株式会社高繁フードサービス　大木様 x 正田和輝プライベート: 訪問させていただく日程調整お打ち合わせ | 東京都新宿区新宿3-10-4 | 店舗によって業者が違う。
264,新橋生ラムかんな　ネズミ駆除カメラと防鼠,,20.7,新橋生ラムかんな　ネズミ駆除カメラと防鼠
266,餃子楼　査察,,25.0,餃子楼　査察
268,【訪問営業】株式会社スパイスワークス伊勢田様,"神田佐久間町３丁目２１−７, 日本、〒101-0025 東京都千代田区神田佐久間町３丁目２１−７",27.3,株式会社スパイスワークス伊勢田様 | 神田佐久間町３丁目２１−７
269,ダーツバー A's　清掃　茅場町店,ダーツバー A's　茅場町店,44.4,ダーツバー A's　　茅場町店 | ダーツバー A's　茅場町店
272,直也さんごはん,,22.2,直也さんごはん
273,【商談訪問】赤坂中華,"中国料理 かおたん, 日本、〒107-0052 東京都港区赤坂６丁目３−１５",57.1,赤坂中華 | 中国料理 かおたん
274,ユニバ,,20.0,ユニバ
276,戸田さんヒロアカ映画,,15.4,戸田さんヒロアカ映画
279,西新宿デイジー　カーテンロール修繕,,30.0,西新宿デイジー　カーテンロール修繕
280,業務用エアコン輝らく取り付け,,33.3,業務用エアコン輝らく取り付け
284,フレフレ併せ,,13.3,フレフレ併せ
285,エアコン洗浄　銀座ボディメイク,"MUSCLE BODY MAKE, 日本、〒104-0061 東京都中央区銀座１丁目１５−１４ 北村企業ビル 4F",50.0,エアコン洗浄　銀座ボディメイク | MUSCLE BODY MAKE
287,パセラ,,22.2,パセラ
288,株式会社くるまやラーメン,東京都足立区綾瀬3-16-4　とうしんビル7階,28.6,株式会社くるまやラーメン | 東京都足立区綾瀬3-16-4　とうしんビル7階
291,【調整中】株式会社タウンダイニング,東京都千代⽥区岩本町2-6-10 第一中野ビル,25.0,株式会社タウンダイニング | 東京都千代⽥区岩本町2-6-10 第一中野ビル
294,株式会社源八船頭,"八丈島郷土料理 源八船頭 目黒店, 日本、〒153-0064 東京都目黒区下目黒１丁目３−２８ サンウッド目黒 2F",31.6,株式会社源八船頭 | 八丈島郷土料理 源八船頭 目黒店 | 役職：店舗統括
295,温泉,,8.3,温泉
296,支店登記簿登録,,22.2,支店登記簿登録
297,影日,,33.3,影日
299,オズちゃとハイキュー 影山,,24.0,オズちゃとハイキュー 影山
301,デリカテッセン　メール返信対応,,38.9,デリカテッセン　メール返信対応
303,【店舗】株式会社タケル,"馬肉専門バル 跳ね馬 田町三田店, 日本、〒108-0014 東京都港区芝５丁目２２−５ 原田ビル 1Ｆ",25.0,株式会社タケル | 馬肉専門バル 跳ね馬 田町三田店
304,リボーン未来編綱吉(仮),,27.3,リボーン未来編綱吉(仮)
305,倉若コナン映画,,18.2,倉若コナン映画
311,BBQ ミセサポ,,18.2,BBQ ミセサポ
315,株式会社テイクユー　本社挨拶,"新橋アネックス, 日本、〒105-0004 東京都港区新橋５丁目３５−１０",40.0,株式会社テイクユー　本社挨拶 | 新橋アネックス
318,株式会社直久,東京都目黒区碑文谷5-15-1 碑文谷マンション2F,25.0,株式会社直久 | 東京都目黒区碑文谷5-15-1 碑文谷マンション2F | ・役職：店舗事業部部長
320,三菱電機　05362 5 0900,,12.5,三菱電機　05362 5 0900
321,株式会社WiZ面接,,14.8,株式会社WiZ面接
322,中目黒まんてん　おかわりグリストラップ,,34.5,中目黒まんてん　おかわりグリストラップ
323,アトミック　bar 毎週清掃,,31.6,アトミック　bar 毎週
325,ダイニングエッジ　楽が気　ドア修理,,26.1,ダイニングエッジ　楽が気　ドア修理
327,ダーツバー水道橋 壁紙 現地調査,,33.3,ダーツバー水道橋 壁紙 現地調査
329,【スポット清掃】 FAST OYSTERS,,40.0,FAST OYSTERS | 店長：ワタナベ様 | おかわり案件（店長立ち会い案件）
330,梅岡打合せ,,0.0,梅岡打合せ
331,ゴミ回収  正田代打依頼,,15.4,ゴミ回収  正田代打依頼
332,ダイニングエッジ楽が気　電気工事 ブレーカー漏電確認,,18.8,ダイニングエッジ楽が気　電気工事 ブレーカー漏電確認
333,サンクスコーポレーション　査察,,27.3,サンクスコーポレーション　査察 | 各店舗査察して、清掃必要そうな箇所を写真撮って、見積を送る。
334,株式会社ハングリータイガー,神奈川県横浜市保土ヶ谷区仏向町991-1 (ハングリータイガー）,28.6,株式会社ハングリータイガー | 神奈川県横浜市保土ヶ谷区仏向町991-1 (ハングリータイガー） | ・費用感：清掃については把握していない、害虫駆除は全店で月26万円ほど
335,地域創生ビジネス交流会２０２５＜東京会場＞,,13.3,地域創生ビジネス交流会２０２５＜東京会場＞
336,キャリーさん入社,,30.0,キャリーさん入社
337,【現地調査】肉の関山　地下貯水槽の清掃,"巣鴨３丁目２４−９, 日本、〒170-0002 東京都豊島区巣鴨３丁目２４−９",26.7,肉の関山　地下貯水槽の | 巣鴨３丁目２４−９
338,おずちゃんとももみつ捏造私服,,19.0,おずちゃんとももみつ捏造私服
339,PayPayウェブ面接19時,,27.3,PayPayウェブ面接19時
340,えだちゃん、とりちゃんフレフレ併せ伊織,,20.0,えだちゃん | とりちゃんフレフレ併せ伊織
346,かまぼこプラス禰豆子併せ,,20.0,かまぼこプラス禰豆子併せ
347,ペン坊 フィルター設置,"麺と肴 担々麺 ぺん坊, 日本、〒130-0001 東京都墨田区吾妻橋３丁目６−１５ サンサーラ吾妻橋 105",77.8,ペン坊 フィルター設置 | 麺と肴 担々麺 ぺん坊
348,大手町佳樹園　砂子田社長,大手町佳樹園,40.0,大手町佳樹園　砂子田社長 | 大手町佳樹園
354,増田家,,33.3,増田家
356,株式会社オン・ザ・プラネット　魚豪商コダマ錦糸町,"第二魚寅ビル, 日本、〒130-0022 東京都墨田区江東橋３丁目１３−８ 第二魚寅ビル",40.0,株式会社オン | ザ | プラネット　魚豪商コダマ錦糸町 | 第二魚寅ビル
359,株式会社ロイヤルストレートフラッシュ,東京都渋谷区渋谷3丁目21-3 ストリーム 3F,22.2,株式会社ロイヤルストレートフラッシュ | 東京都渋谷区渋谷3丁目21-3 ストリーム 3F | ・費用感：店舗によってまちまちで、電話口では不明
362,青柳昇 営業　てん坊,"吾妻橋３丁目６−１５, 日本、〒130-0001 東京都墨田区吾妻橋３丁目６−１５",21.1,青柳昇 営業　てん坊 | 吾妻橋３丁目６−１５
363,株式会社T.H.S,春日部市中央1-52-2 (正龍軒,33.3,株式会社T.H.S | 春日部市中央1-52-2 (正龍軒
364,新橋バーラウンジ　グリストラップ残り業務処理,,51.6,新橋バーラウンジ　グリストラップ残り業務処理
365,モンハンたいがさん昼,,25.0,モンハンたいがさん昼
367,株式会社ＤＲＣ,東京都中央区八丁堀３丁目１４−６,19.0,株式会社ＤＲＣ | 東京都中央区八丁堀３丁目１４−６
369,新橋生ラムカンナ　防鼠工事,,36.4,新橋生ラムカンナ　防鼠工事
370,発酵デリカッセン新宿高島屋　清掃,,45.7,発酵デリカッセン新宿高島屋
372,準備休み,,0.0,準備休み
373,アリ類の生態と防除,,14.3,アリ類の生態と防除
374,MASSIMOTTVIO 50000円（税込）に減額して清掃,"マッシモッタヴィオ, 日本、〒168-0064 東京都杉並区永福４丁目４−４ 六本木ファイブビル",57.1,MASSIMOTTVIO 50000円（税込）に減額して | マッシモッタヴィオ
375,麻布台ヒルズ(毎日清掃)　現地調査,"蕎麦前 山都(麻布台ヒルズ), 日本、〒106-0041 東京都港区麻布台１丁目３−１ ヒルズ タワープラザ 3階",26.7,麻布台ヒルズ(毎日)　現地調査 | 蕎麦前 山都(麻布台ヒルズ)
376,会社休み,,0.0,会社休み
377,電気工事　朝霞台駅,,20.0,電気工事　朝霞台駅
379,株式会社Stove’s market,東京都渋谷区千駄ケ谷５丁目２０−２１ ほぼ新宿のれん街 わ 区画（双葉荘）,46.7,株式会社Stove’s market | 東京都渋谷区千駄ケ谷５丁目２０−２１ ほぼ新宿のれん街 わ 区画（双葉荘）
381,㈱ロイヤルストレートフラッシュ 床張り替え現調,,17.6,㈱ロイヤルストレートフラッシュ 床張り替え現調
382,ダーツバー A's　清掃　茅場町店,ダーツバー A's　茅場町店,44.4,ダーツバー A's　　茅場町店 | ダーツバー A's　茅場町店
383,生ラムかんな　防鼠工事　＠外注,,19.0,生ラムかんな　防鼠工事　＠外注
389,増田休み,,28.6,増田休み
390,有限会社チンズコーポレーション,東京都千代田区丸の内3-7-10 鍛冶橋高架下1階 　（陳家私菜　丸の内店）,26.1,有限会社チンズコーポレーション | 東京都千代田区丸の内3-7-10 鍛冶橋高架下1階 　（陳家私菜　丸の内店）
391,GOSSO　0秒レモンサワー　 深夜渋谷清掃　梅岡定期清掃,,19.4,GOSSO　0秒レモンサワー　 深夜渋谷　梅岡 | 鍵はキーボックスで対応と店内のSECOMの解除も必要です。
395,スモールズ事務所　トイレウォッシュレット修繕,東京都新宿区大久保1-14-20プティベルソ105,23.3,スモールズ事務所　トイレウォッシュレット修繕 | 東京都新宿区大久保1-14-20プティベルソ105
396,SPI保険　対面,"ドトールコーヒーショップ 蕨西口店, 日本、〒335-0004 埼玉県蕨市中央１丁目２３",22.2,SPI保険　対面 | ドトールコーヒーショップ 蕨西口店
397,神田馬力ベルト交換,,33.3,神田馬力ベルト交換
401,ラウンドワン ママたちカラオケ11時,,22.2,ラウンドワン ママたちカラオケ11時
402,ダーツバー A's　清掃　茅場町店,ダーツバー A's　茅場町店,44.4,ダーツバー A's　　茅場町店 | ダーツバー A's　茅場町店
403,増田休み,,28.6,増田休み
404,仕事,,0.0,仕事
405,住民票もらいにいく,,30.8,住民票もらいにいく
406,梅岡ユウジ　家賃振込確認,,19.0,梅岡ユウジ　家賃振込確認
407,ハチ類の生態と防除,,14.3,ハチ類の生態と防除
408,やまさんごはん,,33.3,やまさんごはん
409,板前寿司愛宕店ネズミ駆除,"東京寿司 ITAMAE SUSHI 愛宕店, 日本、〒105-0001 東京都港区虎ノ門３丁目２１−５ 愛宕グリーンヒルズプラザ1F",58.3,板前寿司愛宕店ネズミ駆除 | 東京寿司 ITAMAE SUSHI 愛宕店
411,ダイナースカード　締日,,22.2,ダイナースカード　締日
412,三軒茶屋　パズルフード　餃子楼,,42.1,三軒茶屋　パズルフード　餃子楼
413,スモールズ　椅子撤去　トラック運び出し,,22.2,スモールズ　椅子撤去　トラック運び出し
420,かんのディズニー,,26.7,かんのディズニー
421,凪初回特典小ライスに変更,,16.7,凪初回特典小ライスに変更
