event_index,tenpo_id,tenpo_name,matched_by,score,summary,old_address,new_address,old_map_url,new_map_url
195,TENPO#0031,鮨 輝らく,輝らく,88.6,飯田橋　輝らく　堀題地社長,,"輝らく, 日本、〒162-0825 東京都新宿区神楽坂３丁目１ クレール神楽坂３",,
196,TENPO#0092,上野駅前店,カラオケパセラ上野駅前店,90.4,ワックス剥離　ソファ補修,,カラオケパセラ上野駅前店,,
199,TENPO#0082,別館,ニーハオ蒲田　別館（大規模店舗）,90.6,ニーハオ蒲田　別館（大規模店舗）,,ニーハオ蒲田本店,,
202,TENPO#0083,本店,中国家庭料理 你好 本店,90.0,ニーハオ蒲田　本店,,"中国家庭料理 你好 本店, 日本、〒144-0052 東京都大田区蒲田４丁目２４−１４",,
203,TENPO#0088,王子店,株式会社GRAST 北海道らーめん みそ熊　王子店 　（1日,92.0,【スポット清掃】株式会社GRAST 北海道らーめん みそ熊　王子店 　（1日/2日分）,,"北海道らーめん みそ熊 本店, 日本、〒114-0002 東京都北区王子１丁目２−２",,
204,TENPO#0106,オイスター&珍味 bar 不夜城,オイスター&珍味 BAR 不夜城,100.0,スモールズ ゴールデン街 ドレンホース延長工事,,"オイスター&珍味 BAR 不夜城, 日本、〒160-0021 東京都新宿区歌舞伎町１丁目３−１０ 思い出の抜け道ビル 2.3F",,
205,TENPO#0032,麺と肴　担々麺 ペン坊,麺と肴　担々麺 ペン坊 　青柳社長,90.6,【隔月清掃】麺と肴　担々麺 ペン坊 　青柳社長,,"麺と肴 担々麺 ぺん坊 ラーメン 本所吾妻橋, 日本、〒130-0001 東京都墨田区吾妻橋３丁目６−１５ サンサーラ吾妻橋 105",,
207,TENPO#0083,本店,ニーハオ蒲田本店　ネズミ駆除,90.6,ニーハオ蒲田本店　ネズミ駆除,,,,
208,TENPO#0071,大勝軒まるいち 新宿東南口店,大勝軒まるいち　新宿東南口店,100.0,大勝軒まるいち 新宿東南口店　やり残し対応,,大勝軒まるいち　新宿東南口店,,
211,TENPO#0015,池袋店,鬼金棒　池袋店　平さん対応,90.2,【現場調査】鬼金棒　池袋店　平さん対応,,"みかもビル, 日本、〒101-0044 東京都千代田区鍛冶町２丁目１０−９ みかもビル",,
213,TENPO#0027,水道橋店,ダーツバーA`s 水道橋店,90.4,ダーツバー A's　清掃　水道橋　梅岡定期清掃,,ダーツバーA`s 水道橋店,,
215,TENPO#0020,モンキーツリー 店舗未設定,モンキーツリー,89.4,モンキーツリー　定期清掃,,モンキーツリー馬喰町,,
216,TENPO#0130,渋谷円山町店,株式会社がっと ワイン食堂がっと 渋谷円山町店,91.4,株式会社がっと ワイン食堂がっと 渋谷円山町店,,"ワイン食堂がっと, 日本、〒150-0044 東京都渋谷区円山町１７−２",,
218,TENPO#0031,鮨 輝らく,輝らく,88.6,飯田橋　輝らく　7月請求分,,"輝らく, 日本、〒162-0825 東京都新宿区神楽坂３丁目１ クレール神楽坂３",,
220,TENPO#0115,神楽坂店,Darts Bar A's 神楽坂店,90.8,ダーツバー A's　清掃　神楽坂,,"Darts Bar A's 神楽坂店, 日本、〒162-0825 東京都新宿区神楽坂１丁目１０ 會田ビル 4F",,
221,TENPO#0083,本店,焼き鳥とフルーツサワーのネオ大衆居酒屋！ ～博多おでん・焼き鳥とフルーツサワー～ ニクマレヤ 赤羽本店,97.4,S.pace株式会社 山本 現調,,焼き鳥とフルーツサワーのネオ大衆居酒屋！ ～博多おでん・焼き鳥とフルーツサワー～ ニクマレヤ 赤羽本店,,
223,TENPO#0049,新河岸駅前店,居酒屋ビッグ 新河岸駅前店,90.4,【スポット】居酒屋ビック 新河岸駅前　粗大ゴミ回収,,"居酒屋ビッグ 新河岸駅前店, 日本、〒350-1137 埼玉県川越市砂新田４９−４",,
224,TENPO#77f42e59665b,N,WeWork KABUTO ONE,91.0,【訪問営業】梅岡さん施策,,"WeWork KABUTO ONE, 9F 7, ７ 日本橋兜町 中央区 東京都 103-0026 日本",,
233,TENPO#0083,本店,株式会社ダイニングエッジ　楽が気　新橋本店,91.0,株式会社ダイニングエッジ　楽が気　新橋本店,,"楽が気, 日本、〒105-0004 東京都港区新橋３丁目２１−４ 新橋第2ペリカンビル 1F",,
237,TENPO#77f42e59665b,N,LAS DOS CARAS MODERN MEXICANO Y TACOS,94.2,株式会社HUGE　副島さん,,LAS DOS CARAS MODERN MEXICANO Y TACOS,,
238,TENPO#0083,本店,中国家庭料理 你好 本店,90.0,ニーハオ蒲田　本店,,"中国家庭料理 你好 本店, 日本、〒144-0052 東京都大田区蒲田４丁目２４−１４",,
241,TENPO#0101,新橋総本店,ホルモン屋だん 新橋総本店,90.4,ホルモン屋だん新橋店、　ルームエアコン清掃4台,,"ホルモン屋だん 新橋総本店, 日本、〒105-0004 東京都港区新橋４丁目１４−３",,
242,TENPO#0085,大森店,ニーハオ食品株式会社 ニーハオ大森店　現地調査,91.4,ニーハオ食品株式会社 ニーハオ大森店　現地調査,,"ニイハオ 大森店, 日本、〒143-0016 東京都大田区大森北１丁目２−１",,
243,TENPO#0092,上野駅前店,カラオケ上野駅前店　修繕なーろん,91.0,カラオケ上野駅前店　修繕なーろん,,,,
245,TENPO#0089,北千住店,北海道らーめん みそ熊 北千住店,90.8,【スポット清掃】北海道ラーメンみそ熊　北千住,,"北海道らーめん みそ熊 北千住店, 日本、〒120-0034 東京都足立区千住３丁目３１",,
246,TENPO#0116,西麻布店,ニクアザブ　西麻布店　床,90.0,ニクアザブ　西麻布店　床/ワックス清掃　 (油っぽい),,"ニクアザブ 本店 西麻布, 日本、〒106-0031 東京都港区西麻布４丁目１１−３ 横山ビル １F",,
248,TENPO#0026,高円寺店,ダーツバー A's　高円寺店,90.2,ダーツバー A's　清掃　高円寺　梅岡定期清掃,,ダーツバー A's　高円寺店,,
250,TENPO#0061,大衆寿司酒場 こがね商店,大衆寿司酒場 こがね商店,100.0,【現調】寿司こがね商店　草加,,"大衆寿司酒場 こがね商店, 日本、〒340-0034 埼玉県草加市氷川町２１２４−１４",,
251,TENPO#0083,本店,株式会社ダイニングエッジ　楽が気　新橋本店,91.0,株式会社ダイニングエッジ　楽が気　新橋本店,,"楽が気, 日本、〒105-0004 東京都港区新橋３丁目２１−４ 新橋第2ペリカンビル 1F",,
253,TENPO#0088,王子店,北海道らーめん　みそ熊　王子店,90.6,【現調】北海道らーめん　みそ熊　王子店,,"北海道らーめん みそ熊 本店, 日本、〒114-0002 東京都北区王子１丁目２−２",,https://maps.app.goo.gl/2DChMmP5wJutJmp3A?g_st=ipc
255,TENPO#0083,本店,銀座竹の庵 5丁目本店,90.0,アサヒナフードイノベーション株式会社,,"銀座竹の庵 5丁目本店, 日本、〒104-0061 東京都中央区銀座５丁目６−１３ 西五番街ビル",,
257,TENPO#0026,高円寺店,Darts Bar a's 高円寺店,90.8,【定期清掃】Darts Bar a's 高円寺店,,〒166-0003 東京都杉並区高円寺南３丁目５８−２２ ARISTO 高円寺 3階,,
259,TENPO#0088,王子店,株式会社GRAST 北海道らーめん みそ熊　王子店 　（1日,92.0,【スポット清掃】株式会社GRAST 北海道らーめん みそ熊　王子店 　（1日/2日分）,,"北海道らーめん みそ熊 本店, 日本、〒114-0002 東京都北区王子１丁目２−２",,
260,TENPO#0133,赤坂店,東京寿司 ITAMAE SUSHI 赤坂店,91.6,寿司板前ジャパン 赤坂店　査察　月木さん,,"東京寿司 ITAMAE SUSHI 赤坂店, 日本、〒107-0052 東京都港区赤坂３丁目１０−１ 対翠館ビル 1F",,
261,TENPO#0032,麺と肴　担々麺 ペン坊,麺と肴　担々麺 ペン坊 　青柳社長　  ネズミ駆除,91.6,麺と肴　担々麺 ペン坊 　青柳社長　 定期清掃 ネズミ駆除,,,,
265,TENPO#0025,大塚店,ダーツバー A's　　大塚店,90.0,ダーツバー A's　清掃　大塚店,,ダーツバー A's　大塚店,,
267,TENPO#0115,神楽坂店,Darts Bar A's 神楽坂店,90.8,ダーツバー A's　清掃　神楽坂,,"Darts Bar A's 神楽坂店, 日本、〒162-0825 東京都新宿区神楽坂１丁目１０ 會田ビル 4F",,
270,TENPO#0014,渋谷店,ニーハオ渋谷店　壁ペンキ塗装,90.6,ニーハオ渋谷店　壁ペンキ塗装,,"ニイハオ 渋谷店, 日本、〒150-0002 東京都渋谷区渋谷２丁目１９−１７",,
271,TENPO#77f42e59665b,N,株式会社Lupinus金子：動画特化型中途採用プラットフォーム「President」のご案内,96.0,株式会社Lupinus金子：動画特化型中途採用プラットフォーム「President」のご案内,,,,
275,TENPO#0083,本店,カラシビ味噌らー麺 鬼金棒 神田本店,91.2,【現場調査】鬼金棒　神田本店、セントラルキッチン,,"カラシビ味噌らー麺 鬼金棒 神田本店, 日本、〒101-0044 東京都千代田区鍛冶町２丁目１０−９",,
277,TENPO#0074,たまき新宿2代目店,たまき新宿2代目本店,94.7,たまき新宿2代目本店,,東京都新宿区歌舞伎町1-15-8丸尾ビル3F,,
278,TENPO#0057,弐,魚焼男 弐,88.8,株式会社オン・ザ・プラネット　トイレつまり除去,,"魚焼男 弐, 日本、〒105-0004 東京都港区新橋３丁目１５−８ 精工ビル B1F",,
281,TENPO#0115,神楽坂店,Darts Bar a's 神楽坂店,90.8,【定期清掃】Darts Bar a's 神楽坂店,,"會田ビル, 日本、〒162-0825 東京都新宿区神楽坂１丁目１０ 會田ビル",,
282,TENPO#0010,神田店,ニーハオ神田店 現地調査,90.2,ニーハオ神田店 現地調査,,,,
283,TENPO#0113,工場,肉屋食堂たけうち 製造工場直売所,91.0,【現調】肉屋食堂たけうち 製造工場直売所,,"肉屋食堂たけうち 製造工場直売所, 日本、〒121-0064 東京都足立区保木間１丁目５−１９",,
286,TENPO#0089,北千住店,北海道らーめん みそ熊 北千住店,90.8,【スポット清掃】北海道ラーメンみそ熊　北千住,,"北海道らーめん みそ熊 北千住店, 日本、〒120-0034 東京都足立区千住３丁目３１",,
289,TENPO#0106,オイスター&珍味 bar 不夜城,オイスター&珍味 BAR 不夜城,100.0,スモールズ オイスター&珍味 bar 不夜城 or ゴールデン街 隔月清掃,,"オイスター&珍味 BAR 不夜城, 日本、〒160-0021 東京都新宿区歌舞伎町１丁目３−１０ 思い出の抜け道ビル 2.3F",,
290,TENPO#0066,赤塚店,いのこ板橋区赤塚店,89.8,いのこ板橋区赤塚店,,"麺処いのこ 赤塚店, 日本、〒175-0093 東京都板橋区赤塚新町３丁目８−２５",,
292,TENPO#0107,とんかつさくら,とんかつ さくら,100.0,とんかつさくら　小泉さん　ダクト見積,,"とんかつ さくら, 日本、〒104-0033 東京都中央区新川１丁目１６−７−１０２",,
293,TENPO#0057,弐,プラネット　魚焼男 弐,89.8,株式会社オン・ザ・プラネット　魚焼男 弐,,"魚焼男 弐, 日本、〒105-0004 東京都港区新橋３丁目１５−８ 精工ビル B1F",,
298,TENPO#0026,高円寺店,ダーツバー A's　高円寺店,90.2,ダーツバー A's　清掃　高円寺,,ダーツバー A's　高円寺店,,
300,TENPO#0083,本店,東京餃子楼 三軒茶屋本店,90.2,東京ガス遮断機　掘削＆修復,,"東京餃子楼 三軒茶屋本店, 日本、〒154-0004 東京都世田谷区太子堂４丁目４−２ ラウスパレス三軒茶屋",,
302,TENPO#0010,神田店,デニーロ神田店,89.4,デニーロ 今村　定期清掃,,"デニーロ神田店, 日本、〒101-0054 東京都千代田区神田錦町３丁目１４−３ 神田錦町ビル 1階",,
306,TENPO#0053,新橋店,ピッツェリア ドォーロ 新橋店,90.6,ダイキンSE メティウスエアコン,,"ピッツェリア ドォーロ 新橋店, 日本、〒105-0004 東京都港区新橋５丁目１８−１ 新橋パークサイドビル 1F",,
307,TENPO#0031,鮨 輝らく,輝らく,88.6,飯田橋　輝らく　定期清掃,,"輝らく, 日本、〒162-0825 東京都新宿区神楽坂３丁目１ クレール神楽坂３",,
308,TENPO#0020,モンキーツリー 店舗未設定,モンキーツリー,89.4,モンキーツリー　定期清掃/ラグ交換,,モンキーツリー馬喰町,,
309,TENPO#0042,麹町店,デイジー麹町店,89.4,デイジー麹町店,,"デイジイ 麹町店, 日本、〒102-0083 東京都千代田区麹町４丁目３−２２ 紅谷ビル",,
310,TENPO#0089,北千住店,北海道らーめん みそ熊 北千住店,90.8,【スポット清掃】北海道ラーメンみそ熊　北千住,,"北海道らーめん みそ熊 北千住店, 日本、〒120-0034 東京都足立区千住３丁目３１",,
312,TENPO#0032,麺と肴　担々麺 ペン坊,麺と肴　担々麺 ペン坊 　青柳社長　  ネズミ駆除,91.6,麺と肴　担々麺 ペン坊 　青柳社長　 定期清掃 ネズミ駆除,,"麺と肴 担々麺 ぺん坊, 日本、〒130-0001 東京都墨田区吾妻橋３丁目６−１５ サンサーラ吾妻橋 105",,
313,TENPO#0082,別館,炉端居酒屋 中野製作所 まんてん別館,91.2,炉端居酒屋 中野製作所 まんてん別館,,"まんてん別館, 日本、〒164-0001 東京都中野区中野５丁目４８−５ ｢相互アパート/1F｣",,
314,TENPO#0085,大森店,ニーハオ大森店,89.4,ニーハオ大森店,,"ニイハオ 大森店, 日本、〒143-0016 東京都大田区大森北１丁目２−１",,
316,TENPO#0115,神楽坂店,Darts Bar A's 神楽坂店,90.8,ダーツバー A's　清掃　神楽坂,,"Darts Bar A's 神楽坂店, 日本、〒162-0825 東京都新宿区神楽坂１丁目１０ 會田ビル 4F",,
317,TENPO#77f42e59665b,N,T・ジョイ PRINCE 品川,90.4,国宝(PG12),,"T・ジョイ PRINCE 品川, 〒108-8611, 東京都港区高輪4-10-30, 品川プリンスホテルアネックスタワー3F",,
